Total WALL Points: (502, 2)
Total INB Points: (51, 4)
Total OUTB Points: (51, 3)
Total CFD Points: (100, 5)
Total Random Points: (5000, 2)
Total Collocation Points: (5704, 2)
Adam - Iter: 0, Loss: 2.740e+02, Time: 2.47
Adam - Iter: 5, Loss: 2.362e+02, Time: 0.81
Adam - Iter: 10, Loss: 1.675e+02, Time: 0.81
Adam - Iter: 15, Loss: 1.743e+02, Time: 0.80
Adam - Iter: 20, Loss: 1.520e+02, Time: 0.81
Adam - Iter: 25, Loss: 1.513e+02, Time: 0.83
Adam - Iter: 30, Loss: 1.394e+02, Time: 0.80
Adam - Iter: 35, Loss: 1.351e+02, Time: 0.80
Adam - Iter: 40, Loss: 1.276e+02, Time: 0.80
Adam - Iter: 45, Loss: 1.236e+02, Time: 0.80
Adam - Iter: 50, Loss: 1.196e+02, Time: 0.80
Adam - Iter: 55, Loss: 1.179e+02, Time: 0.80
Adam - Iter: 60, Loss: 1.168e+02, Time: 0.78
Adam - Iter: 65, Loss: 1.161e+02, Time: 0.82
Adam - Iter: 70, Loss: 1.156e+02, Time: 0.78
Adam - Iter: 75, Loss: 1.151e+02, Time: 0.80
Adam - Iter: 80, Loss: 1.145e+02, Time: 0.78
Adam - Iter: 85, Loss: 1.142e+02, Time: 0.80
Adam - Iter: 90, Loss: 1.139e+02, Time: 0.78
Adam - Iter: 95, Loss: 1.137e+02, Time: 0.96
Adam - Iter: 100, Loss: 1.135e+02, Time: 0.84
Adam - Iter: 105, Loss: 1.133e+02, Time: 0.84
Adam - Iter: 110, Loss: 1.131e+02, Time: 0.84
Adam - Iter: 115, Loss: 1.130e+02, Time: 0.80
Adam - Iter: 120, Loss: 1.128e+02, Time: 0.80
Adam - Iter: 125, Loss: 1.127e+02, Time: 0.82
Adam - Iter: 130, Loss: 1.126e+02, Time: 0.81
Adam - Iter: 135, Loss: 1.125e+02, Time: 0.78
Adam - Iter: 140, Loss: 1.124e+02, Time: 0.78
Adam - Iter: 145, Loss: 1.123e+02, Time: 0.78
Adam - Iter: 150, Loss: 1.122e+02, Time: 0.79
Adam - Iter: 155, Loss: 1.121e+02, Time: 0.79
Adam - Iter: 160, Loss: 1.120e+02, Time: 0.80
Adam - Iter: 165, Loss: 1.119e+02, Time: 0.80
Adam - Iter: 170, Loss: 1.118e+02, Time: 0.80
Adam - Iter: 175, Loss: 1.118e+02, Time: 0.78
Adam - Iter: 180, Loss: 1.117e+02, Time: 0.79
Adam - Iter: 185, Loss: 1.116e+02, Time: 0.77
Adam - Iter: 190, Loss: 1.116e+02, Time: 0.81
Adam - Iter: 195, Loss: 1.115e+02, Time: 0.78
Adam - Iter: 200, Loss: 1.114e+02, Time: 0.80
Adam - Iter: 205, Loss: 1.114e+02, Time: 0.77
Adam - Iter: 210, Loss: 1.113e+02, Time: 0.78
Adam - Iter: 215, Loss: 1.113e+02, Time: 0.78
Adam - Iter: 220, Loss: 1.112e+02, Time: 0.77
Adam - Iter: 225, Loss: 1.111e+02, Time: 0.79
Adam - Iter: 230, Loss: 1.111e+02, Time: 0.79
Adam - Iter: 235, Loss: 1.110e+02, Time: 0.78
Adam - Iter: 240, Loss: 1.110e+02, Time: 0.77
Adam - Iter: 245, Loss: 1.109e+02, Time: 0.78
Adam - Iter: 250, Loss: 1.109e+02, Time: 0.79
Adam - Iter: 255, Loss: 1.108e+02, Time: 0.78
Adam - Iter: 260, Loss: 1.108e+02, Time: 0.80
Adam - Iter: 265, Loss: 1.107e+02, Time: 0.78
Adam - Iter: 270, Loss: 1.107e+02, Time: 0.76
Adam - Iter: 275, Loss: 1.106e+02, Time: 0.80
Adam - Iter: 280, Loss: 1.106e+02, Time: 0.78
Adam - Iter: 285, Loss: 1.105e+02, Time: 0.78
Adam - Iter: 290, Loss: 1.104e+02, Time: 0.81
Adam - Iter: 295, Loss: 1.104e+02, Time: 0.78
Adam - Iter: 300, Loss: 1.103e+02, Time: 0.78
Adam - Iter: 305, Loss: 1.102e+02, Time: 0.78
Adam - Iter: 310, Loss: 1.101e+02, Time: 0.79
Adam - Iter: 315, Loss: 1.100e+02, Time: 0.77
Adam - Iter: 320, Loss: 1.102e+02, Time: 0.78
Adam - Iter: 325, Loss: 1.108e+02, Time: 0.77
Adam - Iter: 330, Loss: 1.097e+02, Time: 0.77
Adam - Iter: 335, Loss: 1.096e+02, Time: 0.79
Adam - Iter: 340, Loss: 1.095e+02, Time: 0.79
Adam - Iter: 345, Loss: 1.093e+02, Time: 0.77
Adam - Iter: 350, Loss: 1.091e+02, Time: 0.79
Adam - Iter: 355, Loss: 1.089e+02, Time: 0.79
Adam - Iter: 360, Loss: 1.086e+02, Time: 0.79
Adam - Iter: 365, Loss: 1.082e+02, Time: 0.78
Adam - Iter: 370, Loss: 1.078e+02, Time: 0.78
Adam - Iter: 375, Loss: 1.073e+02, Time: 0.81
Adam - Iter: 380, Loss: 1.067e+02, Time: 0.79
Adam - Iter: 385, Loss: 1.060e+02, Time: 0.78
Adam - Iter: 390, Loss: 1.109e+02, Time: 0.79
Adam - Iter: 395, Loss: 1.053e+02, Time: 0.79
Adam - Iter: 400, Loss: 1.038e+02, Time: 0.78
Adam - Iter: 405, Loss: 1.038e+02, Time: 0.78
Adam - Iter: 410, Loss: 1.009e+02, Time: 0.80
Adam - Iter: 415, Loss: 9.961e+01, Time: 0.80
Adam - Iter: 420, Loss: 9.664e+01, Time: 0.78
Adam - Iter: 425, Loss: 1.111e+02, Time: 0.80
Adam - Iter: 430, Loss: 9.479e+01, Time: 0.78
Adam - Iter: 435, Loss: 9.427e+01, Time: 0.81
Adam - Iter: 440, Loss: 9.014e+01, Time: 0.80
Adam - Iter: 445, Loss: 8.258e+01, Time: 0.78
Adam - Iter: 450, Loss: 8.082e+01, Time: 0.80
Adam - Iter: 455, Loss: 8.150e+01, Time: 0.80
Adam - Iter: 460, Loss: 7.236e+01, Time: 0.79
Adam - Iter: 465, Loss: 6.487e+01, Time: 0.78
Adam - Iter: 470, Loss: 1.515e+02, Time: 0.78
Adam - Iter: 475, Loss: 8.172e+01, Time: 0.80
Adam - Iter: 480, Loss: 6.214e+01, Time: 0.80
Adam - Iter: 485, Loss: 4.779e+01, Time: 0.77
Adam - Iter: 490, Loss: 4.758e+01, Time: 0.80
Adam - Iter: 495, Loss: 3.528e+01, Time: 0.78
Adam - Iter: 500, Loss: 5.348e+01, Time: 0.79
Adam - Iter: 505, Loss: 7.420e+01, Time: 0.78
Adam - Iter: 510, Loss: 2.901e+01, Time: 0.77
Adam - Iter: 515, Loss: 4.090e+01, Time: 0.79
Adam - Iter: 520, Loss: 3.263e+01, Time: 0.77
Adam - Iter: 525, Loss: 2.393e+01, Time: 0.79
Adam - Iter: 530, Loss: 2.369e+01, Time: 0.79
Adam - Iter: 535, Loss: 1.872e+01, Time: 0.77
Adam - Iter: 540, Loss: 1.770e+01, Time: 0.79
Adam - Iter: 545, Loss: 1.609e+01, Time: 0.79
Adam - Iter: 550, Loss: 1.448e+01, Time: 0.79
Adam - Iter: 555, Loss: 1.355e+01, Time: 0.78
Adam - Iter: 560, Loss: 1.322e+01, Time: 0.78
Adam - Iter: 565, Loss: 3.414e+01, Time: 0.79
Adam - Iter: 570, Loss: 3.141e+01, Time: 0.78
Adam - Iter: 575, Loss: 1.530e+01, Time: 0.78
Adam - Iter: 580, Loss: 1.635e+01, Time: 0.79
Adam - Iter: 585, Loss: 1.556e+01, Time: 0.78
Adam - Iter: 590, Loss: 1.455e+01, Time: 0.78
Adam - Iter: 595, Loss: 1.316e+01, Time: 0.78
Adam - Iter: 600, Loss: 1.206e+01, Time: 0.77
Adam - Iter: 605, Loss: 1.141e+01, Time: 0.80
Adam - Iter: 610, Loss: 1.109e+01, Time: 0.77
Adam - Iter: 615, Loss: 1.090e+01, Time: 0.81
Adam - Iter: 620, Loss: 1.075e+01, Time: 0.76
Adam - Iter: 625, Loss: 1.063e+01, Time: 0.78
Adam - Iter: 630, Loss: 1.053e+01, Time: 0.79
Adam - Iter: 635, Loss: 1.043e+01, Time: 0.79
Adam - Iter: 640, Loss: 1.034e+01, Time: 0.77
Adam - Iter: 645, Loss: 1.029e+01, Time: 0.79
Adam - Iter: 650, Loss: 1.147e+01, Time: 0.78
Adam - Iter: 655, Loss: 2.879e+01, Time: 0.79
Adam - Iter: 660, Loss: 1.553e+01, Time: 0.77
Adam - Iter: 665, Loss: 1.212e+01, Time: 0.79
Adam - Iter: 670, Loss: 1.069e+01, Time: 0.78
Adam - Iter: 675, Loss: 1.059e+01, Time: 0.79
Adam - Iter: 680, Loss: 1.069e+01, Time: 0.78
Adam - Iter: 685, Loss: 1.026e+01, Time: 0.78
Adam - Iter: 690, Loss: 9.916e+00, Time: 0.78
Adam - Iter: 695, Loss: 9.918e+00, Time: 0.78
Adam - Iter: 700, Loss: 9.787e+00, Time: 0.78
Adam - Iter: 705, Loss: 9.743e+00, Time: 0.78
Adam - Iter: 710, Loss: 9.670e+00, Time: 0.78
Adam - Iter: 715, Loss: 9.621e+00, Time: 0.77
Adam - Iter: 720, Loss: 9.563e+00, Time: 0.78
Adam - Iter: 725, Loss: 9.528e+00, Time: 0.79
Adam - Iter: 730, Loss: 9.483e+00, Time: 0.77
Adam - Iter: 735, Loss: 9.444e+00, Time: 0.79
Adam - Iter: 740, Loss: 9.409e+00, Time: 0.77
Adam - Iter: 745, Loss: 9.373e+00, Time: 0.79
Adam - Iter: 750, Loss: 9.339e+00, Time: 0.77
Adam - Iter: 755, Loss: 9.306e+00, Time: 0.78
Adam - Iter: 760, Loss: 9.274e+00, Time: 0.81
Adam - Iter: 765, Loss: 9.243e+00, Time: 0.79
Adam - Iter: 770, Loss: 9.213e+00, Time: 0.79
Adam - Iter: 775, Loss: 9.184e+00, Time: 0.77
Adam - Iter: 780, Loss: 9.156e+00, Time: 0.79
Adam - Iter: 785, Loss: 9.128e+00, Time: 0.78
Adam - Iter: 790, Loss: 9.101e+00, Time: 0.78
Adam - Iter: 795, Loss: 9.075e+00, Time: 0.77
Adam - Iter: 800, Loss: 9.052e+00, Time: 0.80
Adam - Iter: 805, Loss: 9.116e+00, Time: 0.78
Adam - Iter: 810, Loss: 1.324e+01, Time: 0.77
Adam - Iter: 815, Loss: 3.957e+01, Time: 0.79
Adam - Iter: 820, Loss: 1.659e+01, Time: 0.78
Adam - Iter: 825, Loss: 1.206e+01, Time: 0.77
Adam - Iter: 830, Loss: 1.255e+01, Time: 0.79
Adam - Iter: 835, Loss: 1.082e+01, Time: 0.79
Adam - Iter: 840, Loss: 1.041e+01, Time: 0.79
Adam - Iter: 845, Loss: 9.896e+00, Time: 0.79
Adam - Iter: 850, Loss: 9.511e+00, Time: 0.77
Adam - Iter: 855, Loss: 9.078e+00, Time: 0.77
Adam - Iter: 860, Loss: 9.164e+00, Time: 0.79
Adam - Iter: 865, Loss: 9.064e+00, Time: 0.78
Adam - Iter: 870, Loss: 9.022e+00, Time: 0.79
Adam - Iter: 875, Loss: 8.957e+00, Time: 0.78
Adam - Iter: 880, Loss: 8.911e+00, Time: 0.79
Adam - Iter: 885, Loss: 8.880e+00, Time: 0.76
Adam - Iter: 890, Loss: 8.856e+00, Time: 0.78
Adam - Iter: 895, Loss: 8.832e+00, Time: 0.78
Adam - Iter: 900, Loss: 8.813e+00, Time: 0.78
Adam - Iter: 905, Loss: 8.791e+00, Time: 0.78
Adam - Iter: 910, Loss: 8.772e+00, Time: 0.78
Adam - Iter: 915, Loss: 8.754e+00, Time: 0.77
Adam - Iter: 920, Loss: 8.735e+00, Time: 0.78
Adam - Iter: 925, Loss: 8.717e+00, Time: 0.79
Adam - Iter: 930, Loss: 8.699e+00, Time: 0.79
Adam - Iter: 935, Loss: 8.682e+00, Time: 0.77
Adam - Iter: 940, Loss: 8.665e+00, Time: 0.79
Adam - Iter: 945, Loss: 8.649e+00, Time: 0.78
Adam - Iter: 950, Loss: 8.632e+00, Time: 0.77
Adam - Iter: 955, Loss: 8.616e+00, Time: 0.79
Adam - Iter: 960, Loss: 8.600e+00, Time: 0.77
Adam - Iter: 965, Loss: 8.585e+00, Time: 0.78
Adam - Iter: 970, Loss: 8.569e+00, Time: 0.78
Adam - Iter: 975, Loss: 8.554e+00, Time: 0.78
Adam - Iter: 980, Loss: 8.541e+00, Time: 0.80
Adam - Iter: 985, Loss: 8.546e+00, Time: 0.77
Adam - Iter: 990, Loss: 9.032e+00, Time: 0.80
Adam - Iter: 995, Loss: 2.372e+01, Time: 0.78
Adam - Iter: 1000, Loss: 9.200e+00, Time: 0.78
Adam - Iter: 1005, Loss: 1.425e+01, Time: 0.79
Adam - Iter: 1010, Loss: 1.148e+01, Time: 0.77
Adam - Iter: 1015, Loss: 1.174e+01, Time: 0.78
